ticker,as_of,horizon,sigma,log_ret,z,u_pit
AAOI,2025-12-26,5,0.8348332856566455,-0.060439677929564055,-0.4551729526838967,0.32449240867699375
AAOI,2025-12-26,10,0.9725198080444615,-0.09741085117550616,-0.4059507827363426,0.3423893818620479
AAOI,2025-12-29,5,0.909477727486411,0.049373084617299244,0.4494556346705627,0.6734484973029625
AAOI,2025-12-29,10,0.9426165456110863,-0.07249754797140087,-0.29220312392040343,0.3850656616363144
AAOI,2025-12-30,5,0.8727858841631021,0.05495814197154482,0.5085029045662793,0.6944496486732482
AAOI,2025-12-30,10,0.9393480147583404,-0.04398495921903609,-0.1414982708327643,0.4437381629877209
AAOI,2025-12-31,5,0.8328928718487094,-0.054529494226773244,-0.40613062804003974,0.3423233112535483
AAOI,2025-12-31,10,0.8816274035293938,0.05957787255234964,0.42704682191178056,0.6653273876546619
AAOI,2026-01-02,5,0.851953892152266,-0.1512928145552615,-1.200713918216781,0.11493109663798362
AAOI,2026-01-02,10,0.890223066519428,-0.06683070848245631,-0.2881894462947481,0.38660086344645295
AAOI,2026-01-05,5,0.9685517186494216,-0.03697117324594207,-0.20277687613795936,0.419654716308845
AAOI,2026-01-05,10,0.9211485641299543,0.11514388246871823,0.7192453130480586,0.76400510778049
AAOI,2026-01-06,5,0.9088423332907596,-0.12187063258870008,-0.8879662004896787,0.18727946634554604
AAOI,2026-01-06,10,0.9221295772149128,-0.005974819696591055,0.059320119769897726,0.5236514319634756
AAOI,2026-01-07,5,0.9688551520562417,-0.0989431011905809,-0.6567705511941935,0.255664231191409
AAOI,2026-01-07,10,0.8980999284829908,0.00249327601111114,0.10338914528668419,0.5411729366073643
AAOI,2026-01-08,5,0.959565908547357,0.11410736677912277,0.9117988615567021,0.8190626951090259
AAOI,2026-01-08,10,0.9025190977955063,0.07890021014319672,0.5287490430870607,0.7015102245420527
AAOI,2026-01-09,5,0.991693432390431,0.08446210607280526,0.6744884796070897,0.7499995962364118
